station_id,station_name,lat,lon,capacity,capacity_class,is_charging_station,is_superstation,valet_hours,primary_area_type,context_tags,context_summary,nearest_subway_station,distance_to_subway_m,near_subway,nearest_park_or_recreation,distance_to_park_m,near_park_or_recreation,nearest_tourist_or_event_place,distance_to_tourist_or_event_m,near_tourist_or_event,nearest_major_road,distance_to_major_road_m,near_major_road,is_waterfront,is_downtown_core,is_residential_context,historical_arrivals_per_day,historical_departures_per_day,historical_net_flow_per_day,historical_usage_class,historical_return_risk_class,agent_hint,source,source_notes
7589,Torresdale Ave / Antibes Dr,43.77953,-79.45233,15,small,False,False,,park_trail,small|park_trail|near_park,Small park trail station near a park or trail.,Finch PPUDO Entrance,2863,False,,260,True,John Mckenzie House,3397,False,Bathurst Street,619,False,False,False,True,1.87,1.85,0.02,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7590,Esther Shiner Stadium,43.7774374,-79.4447096,23,medium,False,False,,park_trail,medium|park_trail|near_park|near_major_road,Medium park trail station near a park or trail and on a major road.,Finch PPUDO Entrance,2296,False,,257,True,John Mckenzie House,2747,False,Bathurst Street,65,True,False,False,True,1.68,1.65,0.02,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7591,Elwood Blvd / Avenue Rd,43.707049,-79.40966,23,medium,False,False,,suburban_node,medium|suburban_node|near_subway|near_major_road,Medium suburban node station near subway and on a major road.,,272,True,Eglinton Park,352,False,The Al Green Gallery / Green Family Companies,1693,False,Avenue Road,26,True,False,False,True,1.2,1.1,0.1,medium,low,Suburban or lower-demand area; alternatives may require a longer detour.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7593,Roehampton Ave / Bayview Ave,43.711751,-79.378615,27,large,False,False,,park_trail,large|park_trail|near_subway|near_park,Large park trail station near subway and near a park or trail.,Leaside,115,True,Charlotte Maher Park,178,True,4CATS Art Studio,1318,False,Eglinton Avenue East,106,False,False,False,True,2.54,2.92,-0.37,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7594,Fleming Cres / Bayview Ave,43.707045,-79.375437,15,small,False,False,,park_trail,small|park_trail|near_park|near_major_road,Small park trail station near a park or trail and on a major road.,Leaside,443,False,Father Caulfield Park,229,True,4CATS Art Studio,745,False,Bayview Avenue,19,True,False,False,True,5.06,5.23,-0.17,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7595,Moore Park,43.693256,-79.383238,15,small,False,False,,park_trail,small|park_trail|near_park,Small park trail station near a park or trail.,,979,False,Moorevale Park,88,True,The Al Green Gallery / Green Family Companies,962,False,Mount Pleasant Road,96,False,False,False,True,3.43,3.22,0.21,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7596,Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,32,large,False,False,,park_trail,large|park_trail|near_subway|near_park|near_major_road,"Large park trail station near subway, near a park or trail and on a major road.",Donlands,250,True,Langford Parkette,91,True,The Danforth Art Studio,1183,False,Danforth Avenue,27,True,False,False,True,8.56,12.56,-4.0,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7597,Yonge St / Golfdale Rd,43.732016,-79.403637,15,small,False,False,,park_trail,small|park_trail|near_park,Small park trail station near a park or trail.,Ranleigh Av Entrance,472,False,Yonge Boulevard Parkette,252,True,C.W. Jefferys house,1584,False,Yonge Street,98,False,False,False,True,0.71,0.83,-0.12,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7598,Teddington Park Ave,43.732975,-79.40401,15,small,False,False,,park_trail,small|park_trail|near_park|near_major_road,Small park trail station near a park or trail and on a major road.,Ranleigh Av Entrance,582,False,Yonge Boulevard Parkette,143,True,C.W. Jefferys house,1474,False,Yonge Street,19,True,False,False,True,1.41,1.42,-0.01,medium,low,"Small residential or park-adjacent station; if full, alternatives may be farther away.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7599,Richmond St W / York St,43.650745,-79.383633,17,medium,False,False,,transit_hub,medium|transit_hub|downtown_core|near_subway|near_park|near_tourist|near_major_road,"Medium transit hub station near subway, in the downtown core, near tourist or event venues, near a park or trail and on a major road.",Four Seasons Entrance,193,True,,164,True,Nathan Phillips Square,212,True,Richmond Street West,55,True,False,True,False,29.99,33.16,-3.17,very_high,low,"Large capacity helps, but downtown commuter demand can change quickly; check alternatives early.",gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7600,Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,20,medium,False,False,,tourist_event,medium|tourist_event|downtown_core|near_park|near_tourist,"Medium tourist event station in the downtown core, near tourist or event venues and near a park or trail.",University / College Northwest Entrance,585,False,Front Campus,285,True,"Ukrainian Museum of Canada, Ontario Branch",376,True,Spadina Crescent,156,False,False,True,False,18.05,23.64,-5.58,high,low,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
7601,Brick Works,43.683884,-79.36647,25,medium,False,False,,tourist_event,medium|tourist_event|near_park|near_tourist,Medium tourist event station near tourist or event venues and near a park or trail.,Broadview Avenue,1013,False,Don Valley Brick Works Park,164,True,Don Valley Brick Works,112,True,Bayview Avenue,113,False,False,False,False,12.98,12.54,0.44,high,low,Tourist or event-area station; demand may spike around weekends and events.,gbfs|osm|ridership,"base metadata (name, lat/lon, capacity, charging) from GBFS station_information; spatial context (nearest subway, park, tourist, major road) from OpenStreetMap Overpass API; ridership stats from Toronto Open Data 2025–2026 annual ZIPs"
